img_name,prefix,kelompok,label,nucleus_shape,split,r_lobus,r_pisah_min,bridge_ratio_min,bridge_ratio_max,n_lobus,status_topologi,luas_nukleus,piks_lubang,komponen_mentah,n_saddle_signifikan
BNE_7323_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,20.223748,10.000000,0.494468,0.954977,12,normal,5267,0,1,11
BNE_7938_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,41.231056,18.867962,0.457615,0.511629,5,normal,8525,476,1,4
BNE_8741_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.455844,18.973666,0.745356,0.972619,13,normal,7352,0,1,12
BNE_9071_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,40.607881,,1.000000,1.000000,1,tak_pernah_pecah,6983,273,1,0
BNE_9373_ccrop.jpg,BNE,E_lainnya,Neutrophil,unsegmented-round,train,32.015621,25.709920,0.803043,0.817492,3,normal,5250,0,1,2
BNE_9763_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.194827,13.453624,0.580027,0.736716,7,normal,6009,0,1,6
BNE_12387_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,21.633308,12.727922,0.588348,0.915209,10,normal,5274,0,1,9
BNE_12405_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,22.000000,13.000000,0.590909,0.927094,8,normal,6077,0,1,7
BNE_14932_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,22.360680,10.630146,0.475395,0.792465,9,normal,5139,0,1,8
BNE_16131_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.537205,9.848858,0.418438,0.783402,7,normal,5365,0,1,6
BNE_17008_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,37.121422,22.360680,0.602366,0.602366,2,normal,6396,190,1,1
BNE_21130_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,21.400935,8.944272,0.417938,0.852686,18,normal,6375,0,1,17
BNE_24354_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.612497,13.892444,0.542409,0.995416,7,normal,6750,0,1,6
BNE_25765_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.059928,14.142136,0.564333,0.564333,2,normal,5298,0,1,1
BNE_27915_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.323808,5.000000,0.214373,0.606339,5,normal,5050,0,1,4
