img_name,kunci,prefix,path_asal,tahap
IG_101958_ccrop.jpg,IG_101958,IG,PBC_dataset_normal_DIB\ig\IG_101958.jpg,X_ig_tak_bersubtipe
IG_102433_ccrop.jpg,IG_102433,IG,PBC_dataset_normal_DIB\ig\IG_102433.jpg,X_ig_tak_bersubtipe
IG_110946_ccrop.jpg,IG_110946,IG,PBC_dataset_normal_DIB\ig\IG_110946.jpg,X_ig_tak_bersubtipe
IG_111589_ccrop.jpg,IG_111589,IG,PBC_dataset_normal_DIB\ig\IG_111589.jpg,X_ig_tak_bersubtipe
IG_115116_ccrop.jpg,IG_115116,IG,PBC_dataset_normal_DIB\ig\IG_115116.jpg,X_ig_tak_bersubtipe
IG_119514_ccrop.jpg,IG_119514,IG,PBC_dataset_normal_DIB\ig\IG_119514.jpg,X_ig_tak_bersubtipe
IG_132866_ccrop.jpg,IG_132866,IG,PBC_dataset_normal_DIB\ig\IG_132866.jpg,X_ig_tak_bersubtipe
IG_146565_ccrop.jpg,IG_146565,IG,PBC_dataset_normal_DIB\ig\IG_146565.jpg,X_ig_tak_bersubtipe
IG_150106_ccrop.jpg,IG_150106,IG,PBC_dataset_normal_DIB\ig\IG_150106.jpg,X_ig_tak_bersubtipe
IG_157249_ccrop.jpg,IG_157249,IG,PBC_dataset_normal_DIB\ig\IG_157249.jpg,X_ig_tak_bersubtipe
IG_161498_ccrop.jpg,IG_161498,IG,PBC_dataset_normal_DIB\ig\IG_161498.jpg,X_ig_tak_bersubtipe
IG_168188_ccrop.jpg,IG_168188,IG,PBC_dataset_normal_DIB\ig\IG_168188.jpg,X_ig_tak_bersubtipe
IG_184096_ccrop.jpg,IG_184096,IG,PBC_dataset_normal_DIB\ig\IG_184096.jpg,X_ig_tak_bersubtipe
IG_184276_ccrop.jpg,IG_184276,IG,PBC_dataset_normal_DIB\ig\IG_184276.jpg,X_ig_tak_bersubtipe
IG_193590_ccrop.jpg,IG_193590,IG,PBC_dataset_normal_DIB\ig\IG_193590.jpg,X_ig_tak_bersubtipe
IG_194213_ccrop.jpg,IG_194213,IG,PBC_dataset_normal_DIB\ig\IG_194213.jpg,X_ig_tak_bersubtipe
IG_198074_ccrop.jpg,IG_198074,IG,PBC_dataset_normal_DIB\ig\IG_198074.jpg,X_ig_tak_bersubtipe
IG_206674_ccrop.jpg,IG_206674,IG,PBC_dataset_normal_DIB\ig\IG_206674.jpg,X_ig_tak_bersubtipe
IG_224065_ccrop.jpg,IG_224065,IG,PBC_dataset_normal_DIB\ig\IG_224065.jpg,X_ig_tak_bersubtipe
IG_225880_ccrop.jpg,IG_225880,IG,PBC_dataset_normal_DIB\ig\IG_225880.jpg,X_ig_tak_bersubtipe
IG_227626_ccrop.jpg,IG_227626,IG,PBC_dataset_normal_DIB\ig\IG_227626.jpg,X_ig_tak_bersubtipe
IG_229795_ccrop.jpg,IG_229795,IG,PBC_dataset_normal_DIB\ig\IG_229795.jpg,X_ig_tak_bersubtipe
IG_233232_ccrop.jpg,IG_233232,IG,PBC_dataset_normal_DIB\ig\IG_233232.jpg,X_ig_tak_bersubtipe
IG_234558_ccrop.jpg,IG_234558,IG,PBC_dataset_normal_DIB\ig\IG_234558.jpg,X_ig_tak_bersubtipe
IG_236829_ccrop.jpg,IG_236829,IG,PBC_dataset_normal_DIB\ig\IG_236829.jpg,X_ig_tak_bersubtipe
IG_241642_ccrop.jpg,IG_241642,IG,PBC_dataset_normal_DIB\ig\IG_241642.jpg,X_ig_tak_bersubtipe
IG_265929_ccrop.jpg,IG_265929,IG,PBC_dataset_normal_DIB\ig\IG_265929.jpg,X_ig_tak_bersubtipe
IG_268791_ccrop.jpg,IG_268791,IG,PBC_dataset_normal_DIB\ig\IG_268791.jpg,X_ig_tak_bersubtipe
IG_284072_ccrop.jpg,IG_284072,IG,PBC_dataset_normal_DIB\ig\IG_284072.jpg,X_ig_tak_bersubtipe
IG_285360_ccrop.jpg,IG_285360,IG,PBC_dataset_normal_DIB\ig\IG_285360.jpg,X_ig_tak_bersubtipe
IG_28760_ccrop.jpg,IG_28760,IG,PBC_dataset_normal_DIB\ig\IG_28760.jpg,X_ig_tak_bersubtipe
IG_295903_ccrop.jpg,IG_295903,IG,PBC_dataset_normal_DIB\ig\IG_295903.jpg,X_ig_tak_bersubtipe
IG_325570_ccrop.jpg,IG_325570,IG,PBC_dataset_normal_DIB\ig\IG_325570.jpg,X_ig_tak_bersubtipe
IG_325849_ccrop.jpg,IG_325849,IG,PBC_dataset_normal_DIB\ig\IG_325849.jpg,X_ig_tak_bersubtipe
IG_346344_ccrop.jpg,IG_346344,IG,PBC_dataset_normal_DIB\ig\IG_346344.jpg,X_ig_tak_bersubtipe
IG_348697_ccrop.jpg,IG_348697,IG,PBC_dataset_normal_DIB\ig\IG_348697.jpg,X_ig_tak_bersubtipe
IG_363386_ccrop.jpg,IG_363386,IG,PBC_dataset_normal_DIB\ig\IG_363386.jpg,X_ig_tak_bersubtipe
IG_365796_ccrop.jpg,IG_365796,IG,PBC_dataset_normal_DIB\ig\IG_365796.jpg,X_ig_tak_bersubtipe
IG_370238_ccrop.jpg,IG_370238,IG,PBC_dataset_normal_DIB\ig\IG_370238.jpg,X_ig_tak_bersubtipe
IG_373361_ccrop.jpg,IG_373361,IG,PBC_dataset_normal_DIB\ig\IG_373361.jpg,X_ig_tak_bersubtipe
IG_378925_ccrop.jpg,IG_378925,IG,PBC_dataset_normal_DIB\ig\IG_378925.jpg,X_ig_tak_bersubtipe
IG_383512_ccrop.jpg,IG_383512,IG,PBC_dataset_normal_DIB\ig\IG_383512.jpg,X_ig_tak_bersubtipe
IG_384616_ccrop.jpg,IG_384616,IG,PBC_dataset_normal_DIB\ig\IG_384616.jpg,X_ig_tak_bersubtipe
IG_387454_ccrop.jpg,IG_387454,IG,PBC_dataset_normal_DIB\ig\IG_387454.jpg,X_ig_tak_bersubtipe
IG_392442_ccrop.jpg,IG_392442,IG,PBC_dataset_normal_DIB\ig\IG_392442.jpg,X_ig_tak_bersubtipe
IG_394276_ccrop.jpg,IG_394276,IG,PBC_dataset_normal_DIB\ig\IG_394276.jpg,X_ig_tak_bersubtipe
IG_399764_ccrop.jpg,IG_399764,IG,PBC_dataset_normal_DIB\ig\IG_399764.jpg,X_ig_tak_bersubtipe
IG_400070_ccrop.jpg,IG_400070,IG,PBC_dataset_normal_DIB\ig\IG_400070.jpg,X_ig_tak_bersubtipe
IG_403859_ccrop.jpg,IG_403859,IG,PBC_dataset_normal_DIB\ig\IG_403859.jpg,X_ig_tak_bersubtipe
