img_name,galat,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,pusat_fallback,n_komp_inti,frak_komp2,ori_r_lobus,ori_r_pisah,ori_br,ori_status,ori_n_lobus_kal,ori_luas_nukleus
LY_51625_ccrop.jpg,,0.0,0.0,0.0,41.0,6263,False,1,0.0,38.3275357934736,,1.0,tak_pernah_pecah,1,5442
LY_51843_ccrop.jpg,,0.0,0.0,0.0,42.15447781671598,6787,False,1,0.0,38.01315561749642,,1.0,tak_pernah_pecah,1,5320
LY_56612_ccrop.jpg,,0.0,0.0,0.0,44.721359549995796,7918,False,1,0.0,41.773197148410844,,1.0,tak_pernah_pecah,1,6517
LY_57780_ccrop.jpg,,0.0,0.0,0.0,39.11521443121589,6085,False,1,0.0,33.015148038438355,,1.0,tak_pernah_pecah,1,4647
LY_59662_ccrop.jpg,,0.0,0.0,0.0,44.9221548904324,7404,False,1,0.0,40.85339643163099,,1.0,tak_pernah_pecah,1,5933
LY_60053_ccrop.jpg,,0.0,0.0,0.0,55.00909015790027,10548,False,1,0.0,37.36308338453881,,1.0,tak_pernah_pecah,1,7312
LY_63391_ccrop.jpg,,0.0,0.0,0.0,44.28317965096906,6913,False,1,0.0,37.73592452822641,,1.0,tak_pernah_pecah,1,5562
LY_64218_ccrop.jpg,,0.0,0.0,0.0,51.40038910358559,9411,False,1,0.0,40.792156108742276,,1.0,tak_pernah_pecah,1,6559
BA_32490_ccrop.jpg,,0.0,0.0,0.0,51.66236541235796,13211,False,1,0.0,22.80350850198276,11.180339887498949,0.4902903378454601,normal,3,6872
BA_32675_ccrop.jpg,,0.0,0.0,0.0,62.625873247404705,13245,False,1,0.0,29.410882339705484,12.083045973594572,0.41083588836374807,normal,2,7319
BA_32996_ccrop.jpg,,0.0,0.0,0.0,55.17245689653489,10717,False,1,0.0,38.8329756778952,,1.0,tak_pernah_pecah,1,7227
BA_34424_ccrop.jpg,,0.0,0.0,0.0,51.0098029794274,9134,False,1,0.0,23.345235059857504,16.97056274847714,0.7269390393784592,normal,1,5279
BA_35708_ccrop.jpg,,0.0,0.0,0.0,65.19202405202648,14880,False,1,0.0,30.610455730027933,11.40175425099138,0.37247907550120535,normal,2,8339
LY_47940_ccrop.jpg,,0.0,0.0,0.0,47.16990566028302,7482,False,1,0.0,34.713109915419565,,1.0,tak_pernah_pecah,1,5726
LY_48852_ccrop.jpg,,0.0,0.0,0.0,52.0,9422,False,1,0.0,39.92492955535426,,1.0,tak_pernah_pecah,1,6977
LY_51513_ccrop.jpg,,0.0,0.0,0.0,47.16990566028302,7947,False,1,0.0,39.84971769034255,,1.0,tak_pernah_pecah,1,5970
BA_21413_ccrop.jpg,,0.0,0.0,0.0,49.040799340956916,9903,False,1,0.0,27.459060435491963,12.0,0.43701422443753785,normal,2,6725
