img_name,sumber,kelompok,split,status_topologi,bridge_ratio,f_badan,terdeteksi,kor_br,kor_status,luas_nukleus,kor_luas_nukleus,keputusan_manusia
BNE_290973_ccrop.jpg,F1_terdeteksi,A_sepakat_band,test,terpisah_di_nol,0.0,0.9137600928235184,True,0.622816470456495,normal,13678,5290.0,
SNE_119786_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,test,terpisah_di_nol,0.0,0.882141550748327,True,0.2916610405434508,normal,15075,6129.0,
SNE_691743_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,train,terpisah_di_nol,0.0,0.880582995363291,True,0.46805145544956234,normal,13270,6422.0,
SNE_466618_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,test,terpisah_di_nol,0.0,0.8796851623401857,True,0.16195526603578322,normal,12355,5201.0,
SNE_94859_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,test,terpisah_di_nol,0.0,0.8145215781350797,True,0.6429287680000185,normal,13286,6568.0,
SNE_973513_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,train,terpisah_di_nol,0.0,0.8111675504812137,True,0.38204579140595335,normal,11119,4961.0,
SNE_487530_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,val,terpisah_di_nol,0.0,0.7870893667066741,True,0.3793103448275862,normal,11687,5150.0,
BNE_356501_ccrop.jpg,F1_terdeteksi,A_sepakat_band,test,terpisah_di_nol,0.0,0.7752714845864845,True,0.7568230077691596,normal,10869,5647.0,
BNE_359949_ccrop.jpg,F1_terdeteksi,A_sepakat_band,train,terpisah_di_nol,0.0,0.7724173579479049,True,0.7669649888473704,normal,14779,5176.0,
SNE_316202_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,test,terpisah_di_nol,0.0,0.762495641387275,True,0.7554831017177897,normal,11206,5657.0,
BNE_604700_ccrop.jpg,F1_terdeteksi,D_konflik_BNE_segmented,train,terpisah_di_nol,0.0,0.7277964245860118,True,0.7748652999654396,normal,12824,8187.0,
SNE_151251_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,test,terpisah_di_nol,0.0,0.7150931016524581,True,0.08899883189799696,normal,12202,5567.0,
BNE_51939_ccrop.jpg,F1_terdeteksi,A_sepakat_band,test,terpisah_di_nol,0.0,0.7144143047478443,True,0.80923868953305,normal,10720,6645.0,
SNE_574534_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,train,terpisah_di_nol,0.0,0.7082199323700382,True,0.3740431216861686,normal,12608,6546.0,
SNE_494764_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,train,terpisah_di_nol,0.0,0.6779361443989478,True,0.2529822128134704,normal,16415,6156.0,
BNE_333793_ccrop.jpg,F1_terdeteksi,A_sepakat_band,train,terpisah_di_nol,0.0,0.627846758629204,True,0.6868028197434451,normal,12413,7236.0,
SNE_699973_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,train,terpisah_di_nol,0.0,0.5437827155737908,True,0.24282146558931603,normal,12778,5797.0,
BNE_839717_ccrop.jpg,F1_terdeteksi,A_sepakat_band,test,terpisah_di_nol,0.0,0.4203791068946633,True,0.3742010423278645,normal,11270,5265.0,
BNE_889850_ccrop.jpg,F1_terdeteksi,A_sepakat_band,train,normal,0.5349009039597095,0.2008353601238436,True,1.0,tak_pernah_pecah,6387,1369.0,
SNE_243399_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,train,normal,0.546316348013623,0.17380034846024395,True,1.0,tak_pernah_pecah,7499,5630.0,
SNE_138431_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,test,normal,0.0444994159489984,0.16106612789288433,True,0.0,terpisah_di_nol,6676,4995.0,
SNE_819515_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,val,normal,0.4561979232295867,0.15822346607879845,True,0.6201736729460423,normal,6342,3828.0,
SNE_13843_ccrop.jpg,F1_terdeteksi,B_sepakat_segmented,train,terpisah_di_nol,0.0,0.14005172500290136,True,0.0,terpisah_di_nol,6628,6153.0,
SNE_476160_ccrop.jpg,F1_terdeteksi,C_konflik_SNE_band,train,tak_pernah_pecah,1.0,0.13958830759854501,True,1.0,tak_pernah_pecah,6978,4381.0,
BNE_489467_ccrop.jpg,F1_terdeteksi,A_sepakat_band,test,normal,0.8124842578528182,0.09015546445083011,True,1.0,tak_pernah_pecah,7088,4390.0,
