img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,jarak_saddle_ke_lubang,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,aturan_lubang,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,pusat_fallback,n_komp_inti,frak_komp2,ori_r_lobus,ori_r_pisah,ori_br,ori_status,ori_n_lobus_kal,ori_luas_nukleus,terdeteksi,kor_r_lobus,kor_r_pisah,kor_br,kor_status,kor_n_lobus_kal,kor_luas_nukleus,kor_luas_badan
BNE_7323_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7323_ccrop.jpg,train,BNE,A_sepakat_band,20.223748416156685,10.0,0.4944681764341487,3,normal,5267,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,64.40496875241847,14045,False,1,0.0,20.223748416156685,10.0,0.49446817643414875,normal,2,5267,False,,,,,,,
BNE_7938_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7938_ccrop.jpg,train,BNE,A_sepakat_band,22.0,12.083045959472656,0.5492293617942117,3,normal,8049,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,77.64663547121665,22035,False,1,0.0,22.0,12.083045973594572,0.549229362436117,normal,2,8049,False,,,,,,,
BNE_8741_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_8741_ccrop.jpg,train,BNE,A_sepakat_band,25.45584412271571,18.97366523742676,0.7453559640748848,2,normal,7352,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,67.97793759742936,17422,False,1,0.0,25.45584412271571,18.973665961010276,0.7453559924999299,normal,2,7352,False,,,,,,,
BNE_9071_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9071_ccrop.jpg,train,BNE,A_sepakat_band,23.43074902771996,20.880613327026367,0.8911628604925675,2,normal,6710,999.0,1,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,67.4166151627327,18173,False,1,0.0,23.430749027719962,20.8806130178211,0.8911628472960084,normal,1,6710,False,,,,,,,
BNE_9373_ccrop.jpg,Neutrophil,small,round,unsegmented-round,low,densely,no,clear,light blue,small,pink,yes,BNE_9373_ccrop.jpg,train,BNE,E_lainnya,32.01562118716424,,1.0,1,tak_pernah_pecah,5250,,1,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,58.59180830116101,11942,False,1,0.0,32.01562118716424,,1.0,tak_pernah_pecah,1,5250,False,,,,,,,
BNE_9763_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9763_ccrop.jpg,train,BNE,A_sepakat_band,23.194827009486403,13.45362377166748,0.5800269071274,3,normal,6009,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,64.40496875241847,15534,False,1,0.0,23.194827009486403,13.45362404707371,0.5800269190010058,normal,2,6009,False,,,,,,,
BNE_12387_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12387_ccrop.jpg,train,BNE,A_sepakat_band,21.633307652783937,12.727922439575195,0.5883484228976548,2,normal,5274,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,59.0,12171,False,1,0.0,21.633307652783937,12.727922061357855,0.588348405414552,normal,2,5274,False,,,,,,,
BNE_12405_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12405_ccrop.jpg,train,BNE,A_sepakat_band,22.0,13.0,0.5909090909090909,2,normal,6077,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,67.20119046564577,16071,False,1,0.0,22.0,13.0,0.5909090909090909,normal,2,6077,False,,,,,,,
BNE_14932_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_14932_ccrop.jpg,train,BNE,A_sepakat_band,22.360679774997894,10.630146026611328,0.4753945825250443,2,normal,5139,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,58.82176467941097,11227,False,1,0.0,22.360679774997898,10.63014581273465,0.4753945729601885,normal,2,5139,False,,,,,,,
BNE_16131_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_16131_ccrop.jpg,train,BNE,A_sepakat_band,23.53720459187964,9.848857879638672,0.418437875287728,3,normal,5365,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,59.405386961116584,13104,False,1,0.0,23.53720459187964,9.848857801796104,0.41843787198051424,normal,2,5365,False,,,,,,,
BNE_17008_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_17008_ccrop.jpg,train,BNE,A_sepakat_band,23.323807579381203,12.649110794067385,0.5423261511233481,3,normal,6206,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,68.41052550594829,18611,False,1,0.0,23.323807579381203,12.649110640673518,0.5423261445466404,normal,2,6206,False,,,,,,,
BNE_21130_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_21130_ccrop.jpg,train,BNE,A_sepakat_band,21.40093455903269,8.9442720413208,0.4179383856648302,2,normal,6375,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,65.05382386916237,14327,False,1,0.0,21.400934559032695,8.94427190999916,0.41793837952857293,normal,2,6375,False,,,,,,,
BNE_24354_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_24354_ccrop.jpg,train,BNE,A_sepakat_band,25.612496949731398,13.892443656921388,0.542408796931729,2,normal,6750,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,71.47027354082255,18148,False,1,0.0,25.612496949731394,13.892443989449804,0.5424088099147826,normal,2,6750,False,,,,,,,
BNE_25765_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,purple,yes,BNE_25765_ccrop.jpg,train,BNE,A_sepakat_band,25.059928172283332,14.142135620117188,0.5643326478388955,2,normal,5298,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,61.5223536610881,17215,False,1,0.0,25.059928172283335,14.142135623730951,0.5643326479831003,normal,2,5298,False,,,,,,,
BNE_27915_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_27915_ccrop.jpg,train,BNE,A_sepakat_band,23.323807579381203,5.0,0.214373231428136,3,normal,5050,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,62.48199740725323,13968,False,1,0.0,23.323807579381203,5.0,0.21437323142813602,normal,2,5050,False,,,,,,,
EO_7922_ccrop.jpg,Eosinophil,big,round,unsegmented-band,low,densely,no,clear,light blue,round,red,yes,EO_7922_ccrop.jpg,train,EO,bukan_neutrofil,24.0,9.0,0.375,3,normal,6526,999.0,3,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,70.57619995437555,16313,False,1,0.0,24.0,9.0,0.375,normal,3,6526,False,,,,,,,
EO_8539_ccrop.jpg,Eosinophil,small,round,unsegmented-band,low,densely,no,clear,light blue,round,red,yes,EO_8539_ccrop.jpg,train,EO,bukan_neutrofil,19.92485884517128,5.830951690673828,0.2926470764979567,3,normal,4475,999.0,2,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,59.0592922409336,11892,False,1,0.0,19.924858845171276,5.830951894845301,0.2926470867450292,normal,2,4475,False,,,,,,,
EO_8635_ccrop.jpg,Eosinophil,small,round,segmented-multilobed,low,densely,no,clear,light blue,round,red,yes,EO_8635_ccrop.jpg,train,EO,bukan_neutrofil,20.518284528683196,2.2360680103302,0.1089792866067495,3,normal,5233,999.0,3,1.25,0.2,4.0,0.4,tidak,0.0,0.0,0.0,67.62396025078685,14862,False,1,0.0,20.518284528683193,2.23606797749979,0.10897928500669322,normal,3,5233,False,,,,,,,
