img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,jarak_saddle_ke_lubang,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,aturan_lubang,kunci,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,pusat_fallback,n_komp_inti,frak_komp2,ori_r_lobus,ori_r_pisah,ori_br,ori_status,ori_n_lobus_kal,ori_luas_nukleus,terdeteksi,kor_r_lobus,kor_r_pisah,kor_br,kor_status,kor_n_lobus_kal,kor_luas_nukleus,kor_luas_badan,kel,br_S3a,st_S3a,br_S3b,st_S3b
BNE_7323_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7323_ccrop.jpg,train,BNE,A_sepakat_band,20.223748416156685,10.0,0.4944681764341487,3,normal,5267,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_7323,0.0,0.0,0.0,64.40496875241847,14045,False,1,0.0,20.223748416156685,10.0,0.49446817643414875,normal,2,5267,False,,,,,,,,A,0.4944681764341487,normal,0.49446817643414875,normal
BNE_7938_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7938_ccrop.jpg,train,BNE,A_sepakat_band,22.0,12.083045959472656,0.5492293617942117,3,normal,8049,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_7938,0.0,0.0,0.0,77.64663547121665,22035,False,1,0.0,22.0,12.083045973594572,0.549229362436117,normal,2,8049,False,,,,,,,,A,0.5492293617942117,normal,0.549229362436117,normal
BNE_8741_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_8741_ccrop.jpg,train,BNE,A_sepakat_band,25.45584412271571,18.97366523742676,0.7453559640748848,2,normal,7352,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_8741,0.0,0.0,0.0,67.97793759742936,17422,False,1,0.0,25.45584412271571,18.973665961010276,0.7453559924999299,normal,2,7352,False,,,,,,,,A,0.7453559640748848,normal,0.7453559924999299,normal
BNE_9071_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9071_ccrop.jpg,train,BNE,A_sepakat_band,23.43074902771996,20.880613327026367,0.8911628604925675,2,normal,6710,999.0,1,1.25,0.2,4.0,0.4,tidak,BNE_9071,0.0,0.0,0.0,67.4166151627327,18173,False,1,0.0,23.430749027719962,20.8806130178211,0.8911628472960084,normal,1,6710,False,,,,,,,,A,0.8911628604925675,normal,0.8911628472960084,normal
BNE_9373_ccrop.jpg,Neutrophil,small,round,unsegmented-round,low,densely,no,clear,light blue,small,pink,yes,BNE_9373_ccrop.jpg,train,BNE,E_lainnya,32.01562118716424,,1.0,1,tak_pernah_pecah,5250,,1,1.25,0.2,4.0,0.4,tidak,BNE_9373,0.0,0.0,0.0,58.59180830116101,11942,False,1,0.0,32.01562118716424,,1.0,tak_pernah_pecah,1,5250,False,,,,,,,,E,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
BNE_9763_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9763_ccrop.jpg,train,BNE,A_sepakat_band,23.194827009486403,13.45362377166748,0.5800269071274,3,normal,6009,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_9763,0.0,0.0,0.0,64.40496875241847,15534,False,1,0.0,23.194827009486403,13.45362404707371,0.5800269190010058,normal,2,6009,False,,,,,,,,A,0.5800269071274,normal,0.5800269190010058,normal
BNE_12387_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12387_ccrop.jpg,train,BNE,A_sepakat_band,21.633307652783937,12.727922439575195,0.5883484228976548,2,normal,5274,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_12387,0.0,0.0,0.0,59.0,12171,False,1,0.0,21.633307652783937,12.727922061357855,0.588348405414552,normal,2,5274,False,,,,,,,,A,0.5883484228976548,normal,0.588348405414552,normal
BNE_12405_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12405_ccrop.jpg,train,BNE,A_sepakat_band,22.0,13.0,0.5909090909090909,2,normal,6077,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_12405,0.0,0.0,0.0,67.20119046564577,16071,False,1,0.0,22.0,13.0,0.5909090909090909,normal,2,6077,False,,,,,,,,A,0.5909090909090909,normal,0.5909090909090909,normal
BNE_14932_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_14932_ccrop.jpg,train,BNE,A_sepakat_band,22.360679774997894,10.630146026611328,0.4753945825250443,2,normal,5139,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_14932,0.0,0.0,0.0,58.82176467941097,11227,False,1,0.0,22.360679774997898,10.63014581273465,0.4753945729601885,normal,2,5139,False,,,,,,,,A,0.4753945825250443,normal,0.4753945729601885,normal
BNE_16131_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_16131_ccrop.jpg,train,BNE,A_sepakat_band,23.53720459187964,9.848857879638672,0.418437875287728,3,normal,5365,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_16131,0.0,0.0,0.0,59.405386961116584,13104,False,1,0.0,23.53720459187964,9.848857801796104,0.41843787198051424,normal,2,5365,False,,,,,,,,A,0.418437875287728,normal,0.41843787198051424,normal
BNE_17008_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_17008_ccrop.jpg,train,BNE,A_sepakat_band,23.323807579381203,12.649110794067385,0.5423261511233481,3,normal,6206,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_17008,0.0,0.0,0.0,68.41052550594829,18611,False,1,0.0,23.323807579381203,12.649110640673518,0.5423261445466404,normal,2,6206,False,,,,,,,,A,0.5423261511233481,normal,0.5423261445466404,normal
BNE_21130_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_21130_ccrop.jpg,train,BNE,A_sepakat_band,21.40093455903269,8.9442720413208,0.4179383856648302,2,normal,6375,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_21130,0.0,0.0,0.0,65.05382386916237,14327,False,1,0.0,21.400934559032695,8.94427190999916,0.41793837952857293,normal,2,6375,False,,,,,,,,A,0.4179383856648302,normal,0.41793837952857293,normal
BNE_24354_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_24354_ccrop.jpg,train,BNE,A_sepakat_band,25.612496949731398,13.892443656921388,0.542408796931729,2,normal,6750,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_24354,0.0,0.0,0.0,71.47027354082255,18148,False,1,0.0,25.612496949731394,13.892443989449804,0.5424088099147826,normal,2,6750,False,,,,,,,,A,0.542408796931729,normal,0.5424088099147826,normal
BNE_25765_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,purple,yes,BNE_25765_ccrop.jpg,train,BNE,A_sepakat_band,25.059928172283332,14.142135620117188,0.5643326478388955,2,normal,5298,999.0,2,1.25,0.2,4.0,0.4,tidak,BNE_25765,0.0,0.0,0.0,61.5223536610881,17215,False,1,0.0,25.059928172283335,14.142135623730951,0.5643326479831003,normal,2,5298,False,,,,,,,,A,0.5643326478388955,normal,0.5643326479831003,normal
