img_name,saddle,persistence
BNE_7323_ccrop.jpg,19.313208,0.384508
BNE_7323_ccrop.jpg,19.235384,0.462332
BNE_7323_ccrop.jpg,14.317821,0.447002
BNE_7323_ccrop.jpg,12.041595,2.723228
BNE_7323_ccrop.jpg,10.770330,0.410010
BNE_7323_ccrop.jpg,10.770330,0.410010
BNE_7323_ccrop.jpg,10.000000,10.223748
BNE_7938_ccrop.jpg,18.867962,3.132038
BNE_8741_ccrop.jpg,24.738634,0.261366
BNE_8741_ccrop.jpg,24.351591,0.346587
BNE_8741_ccrop.jpg,23.769729,0.271902
BNE_8741_ccrop.jpg,23.409400,0.360329
BNE_8741_ccrop.jpg,21.000000,0.840330
BNE_8741_ccrop.jpg,18.973666,0.339542
BNE_8741_ccrop.jpg,18.973666,6.086262
BNE_9373_ccrop.jpg,25.709920,0.251590
BNE_9763_ccrop.jpg,15.524175,0.475825
BNE_9763_ccrop.jpg,14.142136,0.280069
BNE_9763_ccrop.jpg,13.601471,0.290973
BNE_9763_ccrop.jpg,13.601471,3.661206
BNE_9763_ccrop.jpg,13.453624,4.546376
BNE_12387_ccrop.jpg,13.601471,0.326918
BNE_12387_ccrop.jpg,13.341664,0.586724
BNE_12387_ccrop.jpg,13.038405,0.378003
BNE_12387_ccrop.jpg,13.038405,0.378003
BNE_12387_ccrop.jpg,13.000000,0.416408
BNE_12387_ccrop.jpg,13.000000,0.601471
BNE_12387_ccrop.jpg,12.727922,6.585286
BNE_12405_ccrop.jpg,20.248457,0.367071
BNE_12405_ccrop.jpg,13.000000,8.931712
BNE_14932_ccrop.jpg,17.720045,0.307711
BNE_14932_ccrop.jpg,17.720045,0.528242
BNE_14932_ccrop.jpg,17.492856,0.311638
BNE_14932_ccrop.jpg,16.970563,0.917981
BNE_14932_ccrop.jpg,16.401219,0.598781
BNE_14932_ccrop.jpg,10.630146,7.727414
BNE_16131_ccrop.jpg,17.117243,1.750719
BNE_16131_ccrop.jpg,9.848858,7.151142
BNE_21130_ccrop.jpg,18.248288,0.433254
BNE_21130_ccrop.jpg,18.027756,0.329803
BNE_21130_ccrop.jpg,18.027756,0.329803
BNE_21130_ccrop.jpg,18.027756,0.329803
BNE_21130_ccrop.jpg,17.888544,0.469016
