cakupan,n_simpan,akurasi,galat,galat_per_1000
1.0,2531,0.9328328723824575,170,67.16712761754246
0.9,2278,0.9622475856014048,86,37.752414398595256
0.8,2025,0.965925925925926,69,34.074074074074076
0.7,1772,0.9734762979683973,47,26.52370203160271
0.6,1519,0.9749835418038183,38,25.0164581961817
0.5,1266,0.9786729857819905,27,21.32701421800948
0.4,1012,0.9802371541501976,20,19.76284584980237
0.3,759,0.9815546772068511,14,18.44532279314888
0.2,506,0.9762845849802372,12,23.715415019762844
0.1,253,0.9881422924901185,3,11.857707509881422
