img_name,br_semua,st_semua,rp_semua,lob_semua,br_tidak,st_tidak,rp_tidak,lob_tidak,br_selektif,st_selektif,rp_selektif,lob_selektif,kelompok,benar_semua,benar_tidak,benar_selektif,arah,dibanding
SNE_106989_ccrop.jpg,0.6641406214136185,normal,16.6433162689209,3,0.15981324909643976,normal,3.605551242828369,2,0.15981324909643976,normal,3.605551242828369,2,B_sepakat_segmented,False,True,True,pulih,semua
SNE_115658_ccrop.jpg,0.4074074074074074,normal,11.0,2,0.28601636614899467,normal,7.6157732009887695,2,0.4074074074074074,normal,11.0,2,B_sepakat_segmented,False,True,False,pulih,semua
SNE_15997_ccrop.jpg,0.4858657761403026,normal,8.485280990600586,5,0.17177950029416048,normal,3.0,5,0.17177950029416048,normal,3.0,5,B_sepakat_segmented,False,True,True,pulih,semua
SNE_168952_ccrop.jpg,0.34668762255217855,normal,7.071067810058594,3,0.09805806756909202,normal,2.0,3,0.09805806756909202,normal,2.0,3,B_sepakat_segmented,False,True,True,pulih,semua
SNE_174973_ccrop.jpg,0.47507309913635254,normal,11.401754379272461,3,0.12082441659821354,normal,2.8284270763397217,3,0.24164883319642708,normal,5.656854152679443,3,B_sepakat_segmented,False,True,True,pulih,semua
SNE_246181_ccrop.jpg,0.42210629431194685,normal,12.649110794067383,2,0.3180680954507492,normal,7.211102485656738,5,0.3180680954507492,normal,7.211102485656738,5,B_sepakat_segmented,False,True,True,pulih,semua
SNE_247632_ccrop.jpg,0.5467144418944272,normal,17.262676239013672,2,0.13130643061250868,normal,2.8284270763397217,4,0.2817785416534324,normal,6.082762718200684,4,B_sepakat_segmented,False,True,True,pulih,semua
SNE_251641_ccrop.jpg,0.544058837890625,normal,13.601470947265625,3,0.11704114891455279,normal,2.2360680103302,3,0.11704114891455279,normal,2.2360680103302,3,B_sepakat_segmented,False,True,True,pulih,semua
SNE_255562_ccrop.jpg,0.3852483536583813,normal,12.806248664855957,2,0.2982749930597281,normal,7.071067810058594,3,0.2982749930597281,normal,7.071067810058594,3,B_sepakat_segmented,False,True,True,pulih,semua
SNE_273219_ccrop.jpg,0.459062378302391,normal,12.529964447021484,2,0.3066540396569328,normal,6.4031243324279785,5,0.3066540396569328,normal,6.4031243324279785,5,B_sepakat_segmented,False,True,True,pulih,semua
SNE_280533_ccrop.jpg,0.4808470426655048,normal,12.649110794067383,2,0.17916128167384632,normal,3.605551242828369,3,0.17916128167384632,normal,3.605551242828369,3,B_sepakat_segmented,False,True,True,pulih,semua
SNE_330213_ccrop.jpg,0.7487734838228288,normal,17.464248657226562,3,0.31345377810805414,normal,6.7082037925720215,3,0.31345377810805414,normal,6.7082037925720215,3,B_sepakat_segmented,False,True,True,pulih,semua
