img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,jarak_saddle_ke_lubang,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,aturan_lubang
BNE_7323_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7323_ccrop.jpg,train,BNE,A_sepakat_band,20.223748416156685,10.0,0.49446817643414875,3,normal,5267,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_7938_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7938_ccrop.jpg,train,BNE,A_sepakat_band,22.0,12.083045959472656,0.5492293617942117,3,normal,8049,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_8741_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_8741_ccrop.jpg,train,BNE,A_sepakat_band,25.45584412271571,18.973665237426758,0.7453559640748848,2,normal,7352,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_9071_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9071_ccrop.jpg,train,BNE,A_sepakat_band,23.430749027719962,20.880613327026367,0.8911628604925675,2,normal,6710,999.0,1,1.25,0.2,4.0,0.4,tidak
BNE_9373_ccrop.jpg,Neutrophil,small,round,unsegmented-round,low,densely,no,clear,light blue,small,pink,yes,BNE_9373_ccrop.jpg,train,BNE,E_lainnya,32.01562118716424,,1.0,1,tak_pernah_pecah,5250,,1,1.25,0.2,4.0,0.4,tidak
BNE_9763_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9763_ccrop.jpg,train,BNE,A_sepakat_band,23.194827009486403,13.45362377166748,0.5800269071274,3,normal,6009,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_12387_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12387_ccrop.jpg,train,BNE,A_sepakat_band,21.633307652783937,12.727922439575195,0.5883484228976548,2,normal,5274,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_12405_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12405_ccrop.jpg,train,BNE,A_sepakat_band,22.0,13.0,0.5909090909090909,2,normal,6077,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_14932_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_14932_ccrop.jpg,train,BNE,A_sepakat_band,22.360679774997898,10.630146026611328,0.47539458252504435,2,normal,5139,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_16131_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_16131_ccrop.jpg,train,BNE,A_sepakat_band,23.53720459187964,9.848857879638672,0.418437875287728,3,normal,5365,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_17008_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_17008_ccrop.jpg,train,BNE,A_sepakat_band,23.323807579381203,12.649110794067383,0.5423261511233481,3,normal,6206,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_21130_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_21130_ccrop.jpg,train,BNE,A_sepakat_band,21.400934559032695,8.9442720413208,0.41793838566483027,2,normal,6375,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_24354_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_24354_ccrop.jpg,train,BNE,A_sepakat_band,25.612496949731394,13.892443656921387,0.542408796931729,2,normal,6750,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_25765_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,purple,yes,BNE_25765_ccrop.jpg,train,BNE,A_sepakat_band,25.059928172283335,14.142135620117188,0.5643326478388955,2,normal,5298,999.0,2,1.25,0.2,4.0,0.4,tidak
BNE_27915_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_27915_ccrop.jpg,train,BNE,A_sepakat_band,23.323807579381203,5.0,0.21437323142813602,3,normal,5050,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_7922_ccrop.jpg,Eosinophil,big,round,unsegmented-band,low,densely,no,clear,light blue,round,red,yes,EO_7922_ccrop.jpg,train,EO,bukan_neutrofil,24.0,9.0,0.375,3,normal,6526,999.0,3,1.25,0.2,4.0,0.4,tidak
EO_8539_ccrop.jpg,Eosinophil,small,round,unsegmented-band,low,densely,no,clear,light blue,round,red,yes,EO_8539_ccrop.jpg,train,EO,bukan_neutrofil,19.924858845171276,5.830951690673828,0.29264707649795674,3,normal,4475,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_8635_ccrop.jpg,Eosinophil,small,round,segmented-multilobed,low,densely,no,clear,light blue,round,red,yes,EO_8635_ccrop.jpg,train,EO,bukan_neutrofil,20.518284528683193,2.2360680103302,0.10897928660674952,3,normal,5233,999.0,3,1.25,0.2,4.0,0.4,tidak
EO_8741_ccrop.jpg,Eosinophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_8741_ccrop.jpg,train,EO,bukan_neutrofil,25.45584412271571,2.2360680103302,0.08784104740548865,3,normal,8000,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_9228_ccrop.jpg,Eosinophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_9228_ccrop.jpg,train,EO,bukan_neutrofil,24.596747752497688,3.0,0.12196734422726126,2,normal,7046,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_9265_ccrop.jpg,Eosinophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_9265_ccrop.jpg,train,EO,bukan_neutrofil,28.600699292150182,4.4721360206604,0.1563645690959673,3,normal,6788,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_10150_ccrop.jpg,Eosinophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_10150_ccrop.jpg,train,EO,bukan_neutrofil,26.627053911388696,2.2360680103302,0.08397729684145824,3,normal,6598,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_12586_ccrop.jpg,Eosinophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_12586_ccrop.jpg,train,EO,bukan_neutrofil,23.0,2.0,0.08695652173913043,3,normal,6647,999.0,2,1.25,0.2,4.0,0.4,tidak
EO_14468_ccrop.jpg,Eosinophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes,EO_14468_ccrop.jpg,train,EO,bukan_neutrofil,25.80697580112788,7.8102498054504395,0.3026410326276625,2,normal,4744,999.0,2,1.25,0.2,4.0,0.4,tidak
BA_21413_ccrop.jpg,Basophil,small,round,irregular,high,densely,no,clear,light blue,coarse,purple,yes,BA_21413_ccrop.jpg,train,BA,bukan_neutrofil,27.459060435491963,12.0,0.43701422443753785,3,normal,6725,999.0,2,1.25,0.2,4.0,0.4,tidak
