img_name,label,nucleus_shape,kelompok,luas,nilai_dominan,frak_jaringan,diisi
BNE_7938_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,10,sitoplasma,1.0,0
BNE_7938_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,1,sitoplasma,1.0,0
BNE_7938_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,465,sitoplasma,1.0,0
BNE_9071_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,273,sitoplasma,1.0,0
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,155,sitoplasma,1.0,0
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,29,sitoplasma,1.0,0
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,4,sitoplasma,1.0,0
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,1,sitoplasma,1.0,0
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,1,sitoplasma,1.0,0
EO_9228_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,229,sitoplasma,1.0,0
BA_22197_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,91,sitoplasma,1.0,0
BA_30267_ccrop.jpg,Basophil,irregular,bukan_neutrofil,85,sitoplasma,1.0,0
BA_32490_ccrop.jpg,Basophil,irregular,bukan_neutrofil,251,sitoplasma,1.0,0
MO_26771_ccrop.jpg,Monocyte,unsegmented-indented,bukan_neutrofil,76,vakuola,1.0,0
BA_102750_ccrop.jpg,Basophil,segmented-multilobed,bukan_neutrofil,172,sitoplasma,1.0,0
BA_114542_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,163,sitoplasma,1.0,0
BA_119131_ccrop.jpg,Basophil,irregular,bukan_neutrofil,280,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,2,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,14,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_120278_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_158249_ccrop.jpg,Basophil,irregular,bukan_neutrofil,2,sitoplasma,1.0,0
BA_158249_ccrop.jpg,Basophil,irregular,bukan_neutrofil,28,sitoplasma,1.0,0
BA_161101_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,sitoplasma,1.0,0
BA_164170_ccrop.jpg,Basophil,irregular,bukan_neutrofil,17,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,12,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,3,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,2,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,4,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,41,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,3,sitoplasma,1.0,0
BA_168028_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_178853_ccrop.jpg,Basophil,segmented-multilobed,bukan_neutrofil,2,sitoplasma,1.0,0
BA_193863_ccrop.jpg,Basophil,irregular,bukan_neutrofil,4,sitoplasma,1.0,0
BA_206130_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_206130_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,sitoplasma,1.0,0
BA_215988_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,372,sitoplasma,1.0,0
BA_215988_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,2,sitoplasma,1.0,0
BA_215988_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,2,sitoplasma,1.0,0
