img_name,label,nucleus_shape,kelompok,lub_n,lub_piks,lub_luas_maks,lub_diisi_n,lub_dibiarkan_n,luas_nukleus
BNE_7323_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5267
BNE_7938_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,3,476,465,0,3,8049
BNE_8741_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,7352
BNE_9071_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,1,273,273,0,1,6710
BNE_9373_ccrop.jpg,Neutrophil,unsegmented-round,E_lainnya,0,0,0,0,0,5250
BNE_9763_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,6009
BNE_12387_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5274
BNE_12405_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,6077
BNE_14932_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5139
BNE_16131_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5365
BNE_17008_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,5,190,155,0,5,6206
BNE_21130_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,6375
BNE_24354_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,6750
BNE_25765_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5298
BNE_27915_ccrop.jpg,Neutrophil,unsegmented-band,A_sepakat_band,0,0,0,0,0,5050
EO_7922_ccrop.jpg,Eosinophil,unsegmented-band,bukan_neutrofil,0,0,0,0,0,6526
EO_8539_ccrop.jpg,Eosinophil,unsegmented-band,bukan_neutrofil,0,0,0,0,0,4475
EO_8635_ccrop.jpg,Eosinophil,segmented-multilobed,bukan_neutrofil,0,0,0,0,0,5233
EO_8741_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,8000
EO_9228_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,1,229,229,0,1,7046
EO_9265_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,6788
EO_10150_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,6598
EO_12586_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,6647
EO_14468_ccrop.jpg,Eosinophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,4744
BA_21413_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,6725
BA_22197_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,1,91,91,0,1,6939
BA_24720_ccrop.jpg,Basophil,segmented-multilobed,bukan_neutrofil,0,0,0,0,0,6232
BA_25245_ccrop.jpg,Basophil,segmented-bilobed,bukan_neutrofil,0,0,0,0,0,6258
BA_25610_ccrop.jpg,Basophil,unsegmented-indented,bukan_neutrofil,0,0,0,0,0,6086
BA_26315_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,6431
BA_30267_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,85,85,0,1,6165
BA_31317_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,6505
BA_32490_ccrop.jpg,Basophil,irregular,bukan_neutrofil,1,251,251,0,1,6872
BA_32675_ccrop.jpg,Basophil,unsegmented-band,bukan_neutrofil,0,0,0,0,0,7319
BA_32996_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,7227
BA_34424_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,5279
BA_35708_ccrop.jpg,Basophil,irregular,bukan_neutrofil,0,0,0,0,0,8339
LY_47940_ccrop.jpg,Lymphocyte,unsegmented-indented,bukan_neutrofil,0,0,0,0,0,5726
LY_48852_ccrop.jpg,Lymphocyte,unsegmented-indented,bukan_neutrofil,0,0,0,0,0,6977
LY_51513_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5970
LY_51625_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5442
LY_51843_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5320
LY_56612_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,6517
LY_57780_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,4647
LY_59662_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5933
LY_60053_ccrop.jpg,Lymphocyte,unsegmented-indented,bukan_neutrofil,0,0,0,0,0,7312
LY_63391_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5562
LY_64218_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,6559
LY_64434_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,6342
LY_64544_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5442
LY_65073_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,6567
LY_65844_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,7496
LY_68814_ccrop.jpg,Lymphocyte,unsegmented-round,bukan_neutrofil,0,0,0,0,0,5186
MO_26771_ccrop.jpg,Monocyte,unsegmented-indented,bukan_neutrofil,1,76,76,0,1,8437
MO_27445_ccrop.jpg,Monocyte,unsegmented-indented,bukan_neutrofil,0,0,0,0,0,8004
