ambang,J
0.0,0.0
0.001,0.06273983975541608
0.002,0.06273983975541608
0.003,0.06273983975541608
0.004,0.06273983975541608
0.005,0.06273983975541608
0.006,0.06273983975541608
0.007,0.06273983975541608
0.008,0.06273983975541608
0.009000000000000001,0.06273983975541608
0.01,0.06273983975541608
0.011,0.06273983975541608
0.012,0.06273983975541608
0.013000000000000001,0.06273983975541608
0.014,0.06273983975541608
0.015,0.06273983975541608
0.016,0.06273983975541608
0.017,0.06273983975541608
0.018000000000000002,0.06273983975541608
0.019,0.06273983975541608
0.02,0.06273983975541608
0.021,0.06273983975541608
0.022,0.06273983975541608
0.023,0.06273983975541608
0.024,0.06273983975541608
0.025,0.06273983975541608
0.026000000000000002,0.06273983975541608
0.027,0.06273983975541608
0.028,0.06273983975541608
0.029,0.06273983975541608
0.03,0.06273983975541608
0.031,0.06273983975541608
0.032,0.06273983975541608
0.033,0.06376442991935061
0.034,0.06376442991935061
0.035,0.06376442991935061
0.036000000000000004,0.06581361024721943
0.037,0.06683820041115385
0.038,0.06991197090295709
0.039,0.07196115123082591
0.04,0.07196115123082591
0.041,0.07401033155869485
0.042,0.07503492172262927
0.043000000000000003,0.0781086922144325
0.044,0.07913328237836692
0.045,0.08630541352590793
0.046,0.09245295450951452
0.047,0.09450213483738334
0.048,0.09757590532918659
0.049,0.105772626640662
0.05,0.10782180696853094
0.051000000000000004,0.11601852828000625
0.052000000000000005,0.11806770860787519
0.053,0.12011688893574402
0.054,0.12421524959148167
0.055,0.1324119709029571
0.056,0.13651033155869485
0.057,0.13855951188656368
0.058,0.14163328237836692
0.059000000000000004,0.1477808233619735
0.06,0.15085459385377675
0.061,0.1539283643455801
0.062,0.15495295450951452
0.063,0.15905131516525217
0.064,0.161100495493121
0.065,0.16929721680459642
0.066,0.17237098729639977
0.067,0.17646934795213742
0.068,0.18261688893574402
0.069,0.19081361024721943
0.07,0.19426888408623688
0.07100000000000001,0.20041642506984347
0.07200000000000001,0.20451478572558113
0.073,0.20553937588951565
0.074,0.20758855621738448
0.075,0.21373609720099096
0.076,0.2168098676927943
0.077,0.21821596120394282
0.078,0.21924055136787723
0.079,0.2243635021875494
0.08,0.22743727267935265
0.081,0.23153563333509042
0.082,0.23563399399082807
0.083,0.2376831743186969
0.084,0.24280612513836908
0.085,0.24997825628591008
0.08600000000000001,0.2530520267777133
0.08700000000000001,0.2581749775973854
0.088,0.26022415792525433
0.089,0.26739628907279533
0.09,0.2729007432396816
0.091,0.28212205471509144
0.092,0.2862204153708292
0.093,0.2913433661905013
0.094,0.2923679563544357
0.095,0.29544172684623904
0.096,0.3015892678298455
0.097,0.30299536134099414
0.098,0.3132412629803384
0.099,0.3204133941278794
0.1,0.32553634494755146
0.101,0.33168388593115805
0.10200000000000001,0.3419297875705023
0.10300000000000001,0.3439789678983711
0.10400000000000001,0.35320027937378096
0.105,0.35934782035738755
0.106,0.37369208265246956
0.107,0.38124571714722466
0.108,0.3853440778029624
0.109,0.39354079911443784
0.11,0.39558997944230667
0.111,0.4027621105898477
0.112,0.4113403352485373
0.113,0.4185124663960783
0.114,0.4195370565600127
0.115,0.42261082705181596
0.116,0.42978295819935697
0.117,0.4338813188550946
0.11800000000000001,0.44348413367771866
0.11900000000000001,0.4465579041695219
0.12,0.44963167466132514
0.121,0.45065626482525956
0.122,0.45680380580886615
0.123,0.458852986136735
0.124,0.4598775763006694
0.125,0.4670497074482104
0.126,0.47114806810394816
0.127,0.4752464287596858
0.128,0.47729560908755464
0.129,0.48549233039903006
0.13,0.4885661008908334
0.131,0.48997219440198203
0.132,0.49509514522165415
0.133,0.49611973538558857
0.134,0.49611973538558857
0.135,0.5012426862052607
0.136,0.5053410468609985
0.137,0.5094394075167361
0.138,0.5155869485003427
0.139,0.5176361288282115
0.14,0.5186607189921459
0.14100000000000001,0.5217344894839493
0.14200000000000002,0.5251897633229666
0.14300000000000002,0.5286450371619842
0.14400000000000002,0.5327433978177218
0.145,0.5368417584734595
0.146,0.537866348637394
0.147,0.5409401191291972
