ambang,J
0.0,0.0
0.001,0.06273983975541608
0.002,0.06273983975541608
0.003,0.06273983975541608
0.004,0.06273983975541608
0.005,0.06273983975541608
0.006,0.06273983975541608
0.007,0.06273983975541608
0.008,0.06273983975541608
0.009000000000000001,0.06273983975541608
0.01,0.06273983975541608
0.011,0.06273983975541608
0.012,0.06273983975541608
0.013000000000000001,0.06273983975541608
0.014,0.06273983975541608
0.015,0.06273983975541608
0.016,0.06273983975541608
0.017,0.06273983975541608
0.018000000000000002,0.06273983975541608
0.019,0.06273983975541608
0.02,0.06273983975541608
0.021,0.06273983975541608
0.022,0.06273983975541608
0.023,0.06273983975541608
0.024,0.06273983975541608
0.025,0.06273983975541608
0.026000000000000002,0.06273983975541608
0.027,0.06273983975541608
0.028,0.06273983975541608
0.029,0.06273983975541608
0.03,0.06273983975541608
0.031,0.06273983975541608
0.032,0.06273983975541608
0.033,0.06376442991935061
0.034,0.06376442991935061
0.035,0.06581361024721943
0.036000000000000004,0.06683820041115385
0.037,0.06786279057508826
0.038,0.0709365610668915
0.039,0.07298574139476044
0.04,0.07298574139476044
0.041,0.07503492172262927
0.042,0.0770841020504981
0.043000000000000003,0.08220705287017027
0.044,0.08323164303410469
0.045,0.08937918401771117
0.046,0.09552672500131776
0.047,0.09757590532918659
0.048,0.10064967582098994
0.049,0.10782180696853094
0.05,0.10884639713246536
0.051000000000000004,0.11704311844394077
0.052000000000000005,0.1190922987718096
0.053,0.12114147909967843
0.054,0.12319065942754726
0.055,0.1324119709029571
0.056,0.13651033155869485
0.057,0.13855951188656368
0.058,0.14163328237836692
0.059000000000000004,0.1477808233619735
0.06,0.14983000368984234
0.061,0.15187918401771117
0.062,0.1529037741816457
0.063,0.15905131516525217
0.064,0.161100495493121
0.065,0.168272626640662
0.066,0.17134639713246536
0.067,0.1744201676242686
0.068,0.17851852828000625
0.069,0.18364147909967843
0.07,0.18709675293869588
0.07100000000000001,0.19324429392230247
0.07200000000000001,0.1952934742501713
0.073,0.1963180644141057
0.074,0.19836724474197465
0.075,0.20451478572558113
0.076,0.20758855621738448
0.077,0.208994649728533
0.078,0.21104383005640182
0.079,0.21514219071213958
0.08,0.21821596120394282
0.081,0.223338912023615
0.082,0.22641268251541824
0.083,0.22948645300722148
0.084,0.23358481366295925
0.085,0.24075694481050025
0.08600000000000001,0.2448553054662379
0.08700000000000001,0.24997825628591008
0.088,0.2530520267777133
0.089,0.26124874808918874
0.09,0.26739628907279533
0.091,0.27559301038427064
0.092,0.2796913710400084
0.093,0.28378973169574606
0.094,0.2848143218596805
0.095,0.28891268251541824
0.096,0.29506022349902483
0.097,0.29544172684623904
0.098,0.3056876284855833
0.099,0.3128597596331243
0.1,0.31593353012492753
0.101,0.3200318907806652
0.10200000000000001,0.33130238258394396
0.10300000000000001,0.3333515629118128
0.10400000000000001,0.3405236940593538
0.105,0.3487204153708292
0.106,0.3630646776659111
0.107,0.3685691318327974
0.108,0.37266749248853503
0.109,0.3788150334721416
0.11,0.37983962363607604
0.111,0.38598716461968263
0.112,0.39315929576722364
0.113,0.3982822465868957
0.114,0.3993068367508301
0.115,0.40238060724263347
0.116,0.40750355806230554
0.117,0.4116019187180433
0.11800000000000001,0.41608178272099516
0.11900000000000001,0.4191555532127985
0.12,0.42120473354066734
0.121,0.42120473354066734
0.122,0.4263276843603395
0.123,0.42837686468820835
0.124,0.42940145485214276
0.125,0.43452440567181483
0.126,0.4386227663275526
0.127,0.44272112698329025
0.128,0.4447703073111592
0.129,0.4519424384587001
0.13,0.45501620895050343
0.131,0.45642230246165205
0.132,0.4605206631173897
0.133,0.46154525328132423
0.134,0.46256984344525864
0.135,0.4656436139370619
0.136,0.46974197459279954
0.137,0.4738403352485373
0.138,0.4810124663960783
0.139,0.4820370565600127
0.14,0.48306164672394714
0.14100000000000001,0.48408623688788155
0.14200000000000002,0.4892091877075537
0.14300000000000002,0.49023377787148814
0.14400000000000002,0.4943321385272258
0.145,0.4984304991829635
0.146,0.5004796795108324
0.147,0.5029103631859153
