img_name,nucleus_shape,split,r_lobus,r_pisah,bridge_ratio,n_lobus,status,luas_nukleus,komponen_mentah,piks_lubang
SNE_182040_ccrop.jpg,segmented-bilobed,train,42.0000,,1.0000,1,tak_pernah_pecah,12978,2,0
SNE_226032_ccrop.jpg,segmented-bilobed,train,28.1780,,1.0000,1,tak_pernah_pecah,5814,1,0
SNE_238919_ccrop.jpg,segmented-bilobed,train,32.7567,,1.0000,1,tak_pernah_pecah,5416,1,179
SNE_273219_ccrop.jpg,segmented-multilobed,train,27.2947,,1.0000,1,tak_pernah_pecah,5087,1,345
SNE_280533_ccrop.jpg,segmented-multilobed,train,26.3059,,1.0000,1,tak_pernah_pecah,5569,1,283
SNE_330213_ccrop.jpg,segmented-bilobed,train,23.3238,,1.0000,1,tak_pernah_pecah,5813,1,303
SNE_339035_ccrop.jpg,segmented-bilobed,train,39.8121,,1.0000,1,tak_pernah_pecah,8206,1,1668
SNE_339572_ccrop.jpg,segmented-bilobed,train,33.5410,,1.0000,1,tak_pernah_pecah,6681,1,400
SNE_363446_ccrop.jpg,segmented-multilobed,train,35.0000,,1.0000,1,tak_pernah_pecah,6531,1,986
SNE_395253_ccrop.jpg,segmented-multilobed,train,24.2074,,1.0000,1,tak_pernah_pecah,5992,1,17
SNE_413625_ccrop.jpg,segmented-bilobed,train,34.8281,,1.0000,1,tak_pernah_pecah,5434,1,332
SNE_444255_ccrop.jpg,segmented-multilobed,train,34.7131,,1.0000,1,tak_pernah_pecah,6620,1,1157
SNE_449792_ccrop.jpg,segmented-multilobed,train,25.8070,,1.0000,1,tak_pernah_pecah,4815,1,0
SNE_468966_ccrop.jpg,segmented-multilobed,train,29.0689,,1.0000,1,tak_pernah_pecah,5844,1,56
SNE_534184_ccrop.jpg,segmented-bilobed,train,36.6742,,1.0000,1,tak_pernah_pecah,7091,1,486
SNE_551569_ccrop.jpg,segmented-multilobed,train,30.5287,,1.0000,1,tak_pernah_pecah,6654,1,405
SNE_570447_ccrop.jpg,segmented-multilobed,train,29.0689,,1.0000,1,tak_pernah_pecah,5805,1,633
SNE_59745_ccrop.jpg,segmented-multilobed,train,35.4683,,1.0000,1,tak_pernah_pecah,7388,1,794
SNE_65616_ccrop.jpg,segmented-bilobed,train,31.0161,,1.0000,1,tak_pernah_pecah,6214,1,390
SNE_675028_ccrop.jpg,segmented-bilobed,train,27.5862,,1.0000,1,tak_pernah_pecah,6806,1,378
SNE_691541_ccrop.jpg,segmented-bilobed,train,36.2353,,1.0000,1,tak_pernah_pecah,5718,1,833
SNE_698912_ccrop.jpg,segmented-multilobed,train,30.8707,,1.0000,1,tak_pernah_pecah,6742,1,519
SNE_737275_ccrop.jpg,segmented-multilobed,train,36.0000,,1.0000,1,tak_pernah_pecah,8052,1,1357
SNE_774800_ccrop.jpg,segmented-bilobed,train,35.2278,,1.0000,1,tak_pernah_pecah,6422,1,950
SNE_798289_ccrop.jpg,segmented-multilobed,train,38.4708,,1.0000,1,tak_pernah_pecah,8355,1,1839
SNE_81065_ccrop.jpg,segmented-bilobed,train,31.3209,,1.0000,1,tak_pernah_pecah,5014,1,682
SNE_881639_ccrop.jpg,segmented-bilobed,train,30.4795,,1.0000,1,tak_pernah_pecah,6051,1,658
SNE_887894_ccrop.jpg,segmented-bilobed,train,26.9258,,1.0000,1,tak_pernah_pecah,6227,1,279
SNE_94795_ccrop.jpg,segmented-multilobed,train,34.0147,,1.0000,1,tak_pernah_pecah,6446,1,1430
SNE_995695_ccrop.jpg,segmented-bilobed,train,28.1780,,1.0000,1,tak_pernah_pecah,5995,1,646
SNE_614953_ccrop.jpg,segmented-bilobed,val,31.3847,,1.0000,1,tak_pernah_pecah,5639,1,299
SNE_79214_ccrop.jpg,segmented-multilobed,val,23.7697,,1.0000,1,tak_pernah_pecah,5553,1,163
SNE_605370_ccrop.jpg,segmented-bilobed,val,37.0000,,1.0000,1,tak_pernah_pecah,7704,1,1313
SNE_775439_ccrop.jpg,segmented-multilobed,val,26.8328,,1.0000,1,tak_pernah_pecah,6385,1,970
