r_lobus,r_pisah,bridge_ratio,luas_nukleus,img_name,prefix,kelompok,nucleus_shape,label,split,indeks_segmentasi
20.223748416156685,10.0,0.49446817643414875,5267,BNE_7323_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.3370902961325051
22.0,12.5,0.5681818181818182,8049,BNE_7938_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,0.16456103044674997
25.45584412271571,19.0,0.7463904912524668,7352,BNE_8741_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-3.655771727681227
23.430749027719962,16.5,0.7042028396309279,6710,BNE_9071_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.9363925917655216
32.01562118716424,5.5,0.17179113807746668,5250,BNE_9373_ccrop.jpg,BNE,E_lainnya,unsegmented-round,Neutrophil,train,-6.046315613815956
23.194827009486403,11.0,0.47424367491514957,6009,BNE_9763_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.8900403979347846
21.633307652783937,12.5,0.5778127044012803,5274,BNE_12387_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.5459223464896539
22.0,13.0,0.5909090909090909,6077,BNE_12405_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.6409723789848343
22.360679774997898,10.0,0.4472135954999579,5139,BNE_14932_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.9691003652300445
23.53720459187964,9.5,0.40361632422898297,5365,BNE_16131_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.414052288056915
23.323807579381203,12.5,0.5359330785703401,6206,BNE_17008_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.9493251020341429
21.400934559032695,9.0,0.420542382164398,6375,BNE_21130_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.6042405631608254
25.612496949731394,14.0,0.5466081666101212,6750,BNE_24354_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.3499136836784693
25.059928172283335,14.5,0.5786129912390261,5298,BNE_25765_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-3.5601853877997094
23.323807579381203,5.0,0.21437323142813602,5050,BNE_27915_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,0.4260709333525776
30.083217912982647,20.0,0.6648224953145336,5582,BNE_100878_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-6.906529434684595
19.72308292331602,12.0,0.6084241518760726,5645,BNE_101082_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.5431646937550489
19.4164878389476,12.5,0.643782753280756,5383,BNE_101234_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.9423479905409948
25.238858928247925,14.0,0.5547001962252291,7579,BNE_102129_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.8170116458743628
29.0,10.0,0.3448275862068966,6820,BNE_102779_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.2808491739795738
25.495097567963924,9.0,0.3530090432487313,6558,BNE_102912_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.5402532163442189
27.586228448267445,14.5,0.5256245893559499,6326,BNE_103440_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.9886258868299844
48.30113870293329,0.5,0.010351722825317893,14319,BNE_104344_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.0680453583635945
26.40075756488817,17.5,0.6628597666937489,5271,BNE_105060_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-5.332978855288605
20.8806130178211,12.0,0.5746957711326908,5098,BNE_105090_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-0.7877137404821699
22.20360331117452,16.0,0.7206037585776719,4637,BNE_105145_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-4.08158973314791
19.313207915827967,8.0,0.4142242984627982,4824,BNE_106934_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,0.5671724257716049
34.0,22.5,0.6617647058823529,6207,BNE_108207_ccrop.jpg,BNE,E_lainnya,unsegmented-indented,Neutrophil,train,-7.242412369834662
27.730849247724095,12.5,0.4507615287341368,6612,BNE_109895_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.3993327197068535
19.924858845171276,13.5,0.677545577858469,6383,BNE_111339_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.2303542770936247
18.681541692269406,11.0,0.5888165003294081,5438,BNE_111504_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,0.25270885514964014
20.8806130178211,13.5,0.6465327425242772,5915,BNE_112944_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.280677545528068
23.769728648009426,14.0,0.5889844266763398,5349,BNE_112967_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-3.1756202094360813
19.79898987322333,11.0,0.5555838995037159,3904,BNE_113656_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.149765618492033
28.600699292150182,12.5,0.437052250796916,6665,BNE_114654_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.3000488126877787
22.135943621178654,14.5,0.6550432296063071,5310,BNE_115189_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.7962780560256952
21.02379604162864,11.5,0.5469992182776682,4362,BNE_115257_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.0654931092265496
20.808652046684813,13.0,0.6247401307318765,4948,BNE_118878_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-1.544783421905679
23.600847442411894,16.0,0.6779417577712572,5963,BNE_121986_ccrop.jpg,BNE,A_sepakat_band,unsegmented-band,Neutrophil,train,-2.3964902612194443
