img_name,idx,luas,lebar_maks,aspek,jarak_saddle
BA_32490_ccrop.jpg,1,251,8.0,3.921875,11.180339887498949
EO_9228_ccrop.jpg,1,229,10.0,2.29,3.0
BA_22197_ccrop.jpg,1,91,4.47213595499958,4.549999999999999,13.416407864998739
BA_30267_ccrop.jpg,1,85,8.246211251235321,1.25,7.0
MO_26771_ccrop.jpg,1,76,10.0,0.76,17.0
BNE_7938_ccrop.jpg,1,10,2.0,2.5,60.03332407921454
BNE_7938_ccrop.jpg,2,1,2.0,0.25,58.66856057549052
BNE_7938_ccrop.jpg,3,465,16.0,1.81640625,13.0
BNE_9071_ccrop.jpg,1,273,10.198039027185569,2.6250000000000004,21.587033144922902
BNE_17008_ccrop.jpg,1,155,10.0,1.55,12.649110640673518
BNE_17008_ccrop.jpg,2,29,2.0,7.25,37.589892258425
BNE_17008_ccrop.jpg,3,4,2.0,1.0,56.22277118748239
BNE_17008_ccrop.jpg,4,1,2.0,0.25,60.30754513325841
BNE_17008_ccrop.jpg,5,1,2.0,0.25,62.369864518050704
BA_102750_ccrop.jpg,1,172,10.198039027185569,1.653846153846154,18.027756377319946
BA_114542_ccrop.jpg,1,163,7.211102550927978,3.134615384615385,7.0710678118654755
BA_158249_ccrop.jpg,1,2,2.0,0.5,
BA_158249_ccrop.jpg,2,28,4.0,1.75,
BA_161101_ccrop.jpg,1,1,2.0,0.25,19.1049731745428
BA_119131_ccrop.jpg,1,280,15.620499351813308,1.1475409836065575,7.211102550927978
BA_120278_ccrop.jpg,1,1,2.0,0.25,20.808652046684813
BA_120278_ccrop.jpg,2,1,2.0,0.25,19.849433241279208
BA_120278_ccrop.jpg,3,2,2.0,0.5,19.1049731745428
BA_120278_ccrop.jpg,4,14,2.0,3.5,17.88854381999832
BA_120278_ccrop.jpg,5,1,2.0,0.25,20.396078054371138
BA_120278_ccrop.jpg,6,1,2.0,0.25,21.213203435596427
BA_120278_ccrop.jpg,7,1,2.0,0.25,22.090722034374522
BA_120278_ccrop.jpg,8,1,2.0,0.25,23.021728866442675
BA_120278_ccrop.jpg,9,1,2.0,0.25,24.0
BA_120278_ccrop.jpg,10,1,2.0,0.25,25.019992006393608
BA_193863_ccrop.jpg,1,4,2.0,1.0,15.556349186104045
BA_178853_ccrop.jpg,1,2,2.0,0.5,47.01063709417264
BA_215988_ccrop.jpg,1,372,11.313708498984761,2.9062499999999996,3.0
BA_215988_ccrop.jpg,2,2,2.0,0.5,51.03920062069938
BA_215988_ccrop.jpg,3,2,2.0,0.5,53.25410782277739
BA_206130_ccrop.jpg,1,1,2.0,0.25,8.0
BA_206130_ccrop.jpg,2,1,2.0,0.25,9.055385138137417
BA_223010_ccrop.jpg,1,473,16.0,1.84765625,7.0710678118654755
BA_225229_ccrop.jpg,1,13,2.8284271247461903,1.6249999999999996,20.615528128088304
BA_225540_ccrop.jpg,1,50,5.656854249492381,1.5624999999999996,
BA_229550_ccrop.jpg,1,56,6.324555320336759,1.3999999999999997,11.704699910719626
BA_237069_ccrop.jpg,1,2,2.0,0.5,11.661903789690601
BA_241392_ccrop.jpg,1,1,2.0,0.25,9.848857801796104
BA_241392_ccrop.jpg,2,15,2.8284271247461903,1.8749999999999996,7.810249675906654
BA_164170_ccrop.jpg,1,17,2.0,4.25,55.17245689653489
BA_168028_ccrop.jpg,1,12,2.0,3.0,12.806248474865697
BA_168028_ccrop.jpg,2,3,2.0,0.75,12.529964086141668
BA_168028_ccrop.jpg,3,1,2.0,0.25,13.601470508735444
BA_168028_ccrop.jpg,4,1,2.0,0.25,14.317821063276353
BA_168028_ccrop.jpg,5,2,2.0,0.5,15.033296378372908
BA_168028_ccrop.jpg,6,1,2.0,0.25,16.0
BA_168028_ccrop.jpg,7,1,2.0,0.25,17.029386365926403
BA_168028_ccrop.jpg,8,1,2.0,0.25,18.110770276274835
BA_168028_ccrop.jpg,9,1,2.0,0.25,19.235384061671343
BA_168028_ccrop.jpg,10,1,2.0,0.25,20.396078054371138
BA_168028_ccrop.jpg,11,4,2.0,1.0,21.587033144922902
BA_168028_ccrop.jpg,12,41,4.47213595499958,2.05,25.0
BA_168028_ccrop.jpg,13,3,2.0,0.75,40.311288741492746
BA_168028_ccrop.jpg,14,1,2.0,0.25,44.77722635447622
