kunci,path,prefix,tahap_idx,tahap,galat,luas_sel,luas_nukleus,rasio_nc,pusat_fallback,frak_tepi,n_komp_inti,frak_remah_inti,frak_bingkai,p_r_lobus,p_r_pisah,p_br,p_status,p_n_lobus_kal,p_luas_nukleus,lolos_qc
IG_101958,hasil_fase2g\mask_pred_ig\IG_101958_ccrop_mask.png,IG,,ig_tak_bersubtipe,,17889,10245,0.5726983062217005,False,0.0,1,0.0,0.1380324074074074,45.5411901469428,,1.0,tak_pernah_pecah,1,10245,True
IG_102433,hasil_fase2g\mask_pred_ig\IG_102433_ccrop_mask.png,IG,,ig_tak_bersubtipe,,11002,6468,0.5878931103435739,False,0.0,1,0.0,0.08489197530864198,28.30194339616981,22.47220505424423,0.7940163238855698,normal,2,6468,True
IG_110946,hasil_fase2g\mask_pred_ig\IG_110946_ccrop_mask.png,IG,,ig_tak_bersubtipe,,15333,8676,0.5658383877910389,False,0.0,1,0.0,0.11831018518518518,46.861498055439924,,1.0,tak_pernah_pecah,1,8676,True
IG_111589,hasil_fase2g\mask_pred_ig\IG_111589_ccrop_mask.png,IG,,ig_tak_bersubtipe,,11454,7268,0.6345381526104418,False,0.0,1,0.0,0.08837962962962963,37.94733192202055,,1.0,tak_pernah_pecah,1,7268,True
IG_115116,hasil_fase2g\mask_pred_ig\IG_115116_ccrop_mask.png,IG,,ig_tak_bersubtipe,,11941,7363,0.6166150238673478,False,0.0,1,0.0,0.09213734567901234,36.235341863986875,,1.0,tak_pernah_pecah,1,7363,True
IG_119514,hasil_fase2g\mask_pred_ig\IG_119514_ccrop_mask.png,IG,,ig_tak_bersubtipe,,12688,7350,0.5792875157629256,False,0.0,1,0.0,0.09790123456790123,31.827660925679098,22.02271554554524,0.6919363504899267,normal,2,7350,True
IG_132866,hasil_fase2g\mask_pred_ig\IG_132866_ccrop_mask.png,IG,,ig_tak_bersubtipe,,16936,9875,0.5830774681152574,False,0.0,1,0.0,0.13067901234567902,45.27692569068709,,1.0,tak_pernah_pecah,1,9875,True
IG_146565,hasil_fase2g\mask_pred_ig\IG_146565_ccrop_mask.png,IG,,ig_tak_bersubtipe,,21480,12245,0.5700651769087524,False,0.0,1,0.0,0.16574074074074074,49.33558553417604,,1.0,tak_pernah_pecah,1,12245,True
IG_150106,hasil_fase2g\mask_pred_ig\IG_150106_ccrop_mask.png,IG,,ig_tak_bersubtipe,,12341,8230,0.6668827485617049,False,0.0,1,0.0,0.09522376543209876,44.598206241955516,,1.0,tak_pernah_pecah,1,8230,True
IG_157249,hasil_fase2g\mask_pred_ig\IG_157249_ccrop_mask.png,IG,,ig_tak_bersubtipe,,23074,13054,0.565744994365953,False,0.0,1,0.0,0.17804012345679013,58.008620049092706,,1.0,tak_pernah_pecah,1,13054,True
IG_161498,hasil_fase2g\mask_pred_ig\IG_161498_ccrop_mask.png,IG,,ig_tak_bersubtipe,,24071,10024,0.4164347139711686,False,0.0,2,0.0,0.18573302469135802,39.66106403010388,0.0,0.0,terpisah_di_nol,1,10024,True
IG_168188,hasil_fase2g\mask_pred_ig\IG_168188_ccrop_mask.png,IG,,ig_tak_bersubtipe,,12630,7102,0.5623119556611244,False,0.0,1,0.0,0.09745370370370371,32.7566787083184,26.40075756488817,0.8059656413879295,normal,2,7102,True
IG_184096,hasil_fase2g\mask_pred_ig\IG_184096_ccrop_mask.png,IG,,ig_tak_bersubtipe,,25670,18500,0.7206856252434749,False,0.0,1,0.0,0.198070987654321,43.9089968002003,24.186773244895647,0.5508386665027454,normal,3,18500,True
IG_184276,hasil_fase2g\mask_pred_ig\IG_184276_ccrop_mask.png,IG,,ig_tak_bersubtipe,,9770,7410,0.7584442169907881,False,0.0,1,0.0,0.0753858024691358,39.45883931389772,,1.0,tak_pernah_pecah,1,7410,True
IG_193590,hasil_fase2g\mask_pred_ig\IG_193590_ccrop_mask.png,IG,,ig_tak_bersubtipe,,14579,8101,0.5556622539268812,False,0.0,1,0.0,0.11249228395061728,43.104524124504614,,1.0,tak_pernah_pecah,1,8101,True
IG_194213,hasil_fase2g\mask_pred_ig\IG_194213_ccrop_mask.png,IG,,ig_tak_bersubtipe,,14039,6395,0.45551677469905266,False,0.0,1,0.0,0.10832561728395061,40.80441152620633,,1.0,tak_pernah_pecah,1,6395,True
IG_198074,hasil_fase2g\mask_pred_ig\IG_198074_ccrop_mask.png,IG,,ig_tak_bersubtipe,,12094,6938,0.5736728956507359,False,0.0,1,0.0,0.0933179012345679,35.34119409414458,,1.0,tak_pernah_pecah,1,6938,True
