img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus_x,jarak_saddle_ke_lubang,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,aturan_lubang,galat,luas_sel,luas_nukleus_y,rasio_nc,pusat_fallback,frak_tepi,n_komp_inti,frak_remah_inti,frak_bingkai,p_r_lobus,p_r_pisah,p_br,p_status,p_n_lobus_kal,p_luas_nukleus,lolos_qc
BNE_7323_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7323_ccrop.jpg,train,BNE,A_sepakat_band,20.223748416156685,10.0,0.4944681764341487,3,normal,5267,999.0,2,1.25,0.2,4.0,0.4,tidak,,14069,5265,0.37422702395337265,False,0.0,1,0.0,0.1085570987654321,20.223748416156685,10.0,0.49446817643414875,normal,2,5265,True
BNE_7938_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_7938_ccrop.jpg,train,BNE,A_sepakat_band,22.0,12.083045959472656,0.5492293617942117,3,normal,8049,999.0,2,1.25,0.2,4.0,0.4,tidak,,22093,8109,0.3670393337256144,False,0.0,1,0.0,0.17047067901234567,25.632011235952593,13.152946437965905,0.5131453133695962,normal,2,8109,True
BNE_8741_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_8741_ccrop.jpg,train,BNE,A_sepakat_band,25.45584412271571,18.97366523742676,0.7453559640748848,2,normal,7352,999.0,2,1.25,0.2,4.0,0.4,tidak,,17451,7362,0.4218669417225374,False,0.0,1,0.0,0.1346527777777778,25.495097567963924,19.235384061671343,0.7544738360147217,normal,2,7362,True
BNE_9071_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9071_ccrop.jpg,train,BNE,A_sepakat_band,23.43074902771996,20.880613327026367,0.8911628604925675,2,normal,6710,999.0,1,1.25,0.2,4.0,0.4,tidak,,18188,6732,0.37013415438750824,False,0.0,1,0.0,0.1403395061728395,23.430749027719962,20.8806130178211,0.8911628472960084,normal,1,6732,True
BNE_9373_ccrop.jpg,Neutrophil,small,round,unsegmented-round,low,densely,no,clear,light blue,small,pink,yes,BNE_9373_ccrop.jpg,train,BNE,E_lainnya,32.01562118716424,,1.0,1,tak_pernah_pecah,5250,,1,1.25,0.2,4.0,0.4,tidak,,11945,5268,0.4410213478442863,False,0.0,1,0.0,0.09216820987654321,32.01562118716424,,1.0,tak_pernah_pecah,1,5268,True
BNE_9763_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_9763_ccrop.jpg,train,BNE,A_sepakat_band,23.194827009486403,13.45362377166748,0.5800269071274,3,normal,6009,999.0,2,1.25,0.2,4.0,0.4,tidak,,15504,6011,0.3877063983488132,False,0.0,1,0.0,0.11962962962962963,23.194827009486403,13.45362404707371,0.5800269190010058,normal,2,6011,True
BNE_12387_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12387_ccrop.jpg,train,BNE,A_sepakat_band,21.633307652783937,12.727922439575195,0.5883484228976548,2,normal,5274,999.0,2,1.25,0.2,4.0,0.4,tidak,,12184,5279,0.4332731451083388,False,0.0,1,0.0,0.09401234567901234,21.633307652783937,12.727922061357855,0.588348405414552,normal,2,5279,True
BNE_12405_ccrop.jpg,Neutrophil,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_12405_ccrop.jpg,train,BNE,A_sepakat_band,22.0,13.0,0.5909090909090909,2,normal,6077,999.0,2,1.25,0.2,4.0,0.4,tidak,,16076,6070,0.3775814879323215,False,0.0,1,0.0,0.12404320987654321,22.0,13.0,0.5909090909090909,normal,2,6070,True
BNE_14932_ccrop.jpg,Neutrophil,small,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_14932_ccrop.jpg,train,BNE,A_sepakat_band,22.360679774997894,10.630146026611328,0.4753945825250443,2,normal,5139,999.0,2,1.25,0.2,4.0,0.4,tidak,,11254,5146,0.45725964101652744,False,0.0,1,0.0,0.08683641975308642,22.360679774997898,12.727922061357855,0.5692099788303082,normal,2,5146,True
BNE_16131_ccrop.jpg,Neutrophil,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes,BNE_16131_ccrop.jpg,train,BNE,A_sepakat_band,23.53720459187964,9.848857879638672,0.418437875287728,3,normal,5365,999.0,2,1.25,0.2,4.0,0.4,tidak,,13171,5368,0.4075620681800926,False,0.0,1,0.0,0.10162808641975309,23.600847442411894,9.486832980505138,0.4019700141553743,normal,2,5368,True
