img_name,label,rasio_NC,frak_vakuola,cytoplasm_vacuole,nuclear_cytoplasmic_ratio
BA_339232_ccrop.jpg,Basophil,0.6140865156076691,0.0,yes,low
BNE_112967_ccrop.jpg,Neutrophil,0.37200083455038596,0.0,yes,low
BNE_148538_ccrop.jpg,Neutrophil,0.3783800024035573,0.0,yes,low
BNE_172318_ccrop.jpg,Neutrophil,0.28486771499230085,0.0,yes,low
BNE_352014_ccrop.jpg,Neutrophil,0.3730818788801687,0.0,yes,low
BNE_431488_ccrop.jpg,Neutrophil,0.3694937541091387,0.0,yes,low
BNE_436393_ccrop.jpg,Neutrophil,0.3534810929701379,0.0,yes,low
BNE_462949_ccrop.jpg,Neutrophil,0.3877707789214933,0.0,yes,low
BNE_545123_ccrop.jpg,Neutrophil,0.35604169725444135,0.0,yes,low
BNE_546147_ccrop.jpg,Neutrophil,0.4484618306114698,0.0,yes,low
BNE_582144_ccrop.jpg,Neutrophil,0.43593439022716357,0.0,yes,low
BNE_862425_ccrop.jpg,Neutrophil,0.45179473888816896,0.0,yes,low
BNE_899761_ccrop.jpg,Neutrophil,0.42498838829540175,0.0,yes,low
EO_164571_ccrop.jpg,Eosinophil,0.47675478577939834,0.0,yes,low
EO_453486_ccrop.jpg,Eosinophil,0.37805276675227645,0.0,yes,low
EO_633545_ccrop.jpg,Eosinophil,0.39003274321549475,0.0,yes,low
MO_354293_ccrop.jpg,Monocyte,0.5009197324414716,0.0,yes,low
MO_894080_ccrop.jpg,Monocyte,0.46228500566129294,0.0,yes,low
SNE_250922_ccrop.jpg,Neutrophil,0.31407469930365056,0.0,yes,low
SNE_327603_ccrop.jpg,Neutrophil,0.38907312220195656,0.0,yes,low
SNE_334919_ccrop.jpg,Neutrophil,0.363439257402263,0.0,yes,low
SNE_358592_ccrop.jpg,Neutrophil,0.32994995088638385,0.0,yes,low
SNE_374597_ccrop.jpg,Neutrophil,0.3892682298376707,0.0,yes,low
SNE_399998_ccrop.jpg,Neutrophil,0.31902818817128653,0.0,yes,low
SNE_490067_ccrop.jpg,Neutrophil,0.369415333701048,0.0,yes,low
SNE_606289_ccrop.jpg,Neutrophil,0.4012102528971856,0.0,yes,low
SNE_841534_ccrop.jpg,Neutrophil,0.36660626456122186,0.0,yes,low
SNE_90837_ccrop.jpg,Neutrophil,0.3358671734346869,0.0,yes,low
SNE_404174_ccrop.jpg,Neutrophil,0.38157971098601356,0.0,yes,low
BNE_946465_ccrop.jpg,Neutrophil,0.3927186080017733,0.0,yes,low
SNE_358253_ccrop.jpg,Neutrophil,0.3749740322692334,0.0,yes,low
BNE_800035_ccrop.jpg,Neutrophil,0.3692820738689989,0.0,yes,low
BNE_605529_ccrop.jpg,Neutrophil,0.405107054042579,0.0,yes,low
BNE_554100_ccrop.jpg,Neutrophil,0.49693822184326797,0.0,yes,low
EO_190519_ccrop.jpg,Eosinophil,0.40529465331078446,0.0,yes,low
SNE_660142_ccrop.jpg,Neutrophil,0.3128393665158371,0.0,yes,low
BNE_472201_ccrop.jpg,Neutrophil,0.3480873034498944,0.0,yes,low
SNE_340205_ccrop.jpg,Neutrophil,0.35223453255321796,0.0,yes,low
EO_10690_ccrop.jpg,Eosinophil,0.3951739903479807,0.0,yes,low
SNE_982230_ccrop.jpg,Neutrophil,0.40867121637896425,0.0,yes,low
BNE_338079_ccrop.jpg,Neutrophil,0.31816523325514723,0.0,yes,low
BNE_122030_ccrop.jpg,Neutrophil,0.48660124551802225,0.0,yes,low
BNE_290973_ccrop.jpg,Neutrophil,0.4943259848211059,0.0,yes,low
MO_557047_ccrop.jpg,Monocyte,0.5044037466797148,0.0,yes,low
BNE_494338_ccrop.jpg,Neutrophil,0.3391867391867392,0.0,yes,low
SNE_6938_ccrop.jpg,Neutrophil,0.2878081624197224,0.0,yes,low
BNE_378779_ccrop.jpg,Neutrophil,0.3959516924647049,0.0,yes,low
BNE_489792_ccrop.jpg,Neutrophil,0.46168014735324736,0.0,yes,low
