atribut,nilai,train%,val%,test%,selisih_maks
nucleus_shape,segmented-multilobed,11.752309936780678,13.689320388349516,13.488222007099065,1.9370104515688382
cytoplasm_colour,light blue,76.07391797698169,76.69902912621359,74.79832203936753,1.9007070868460545
cytoplasm_colour,blue,13.48678878262279,12.524271844660195,14.230396902226525,1.7061250575663305
cell_size,small,46.62019776300859,45.24271844660194,45.01452081316554,1.6056769498430512
cell_size,big,53.37980223699142,54.757281553398066,54.98547918683446,1.605676949843044
nucleus_shape,unsegmented-indented,12.465553574323229,13.300970873786408,14.069054533720553,1.6035009593973246
nucleus_shape,segmented-bilobed,30.782946993029665,30.388349514563107,29.2675056469829,1.5154413460467637
chromatin_density,densely,91.27897552277517,89.90291262135922,90.73894804775733,1.3760629014159491
chromatin_density,loosely,8.721024477224834,10.097087378640776,9.261051952242658,1.376062901415942
granule_colour,purple,12.854595558437348,13.398058252427184,12.068409164246532,1.329649088180652
cytoplasm_texture,frosted,19.435889123034528,19.902912621359224,20.651823168764118,1.2159340457295897
cytoplasm_texture,clear,80.56411087696547,80.09708737864078,79.34817683123589,1.2159340457295826
granule_type,nil,25.352569298103422,24.951456310679614,26.137463697967085,1.1860073872874715
granularity,yes,74.663640784568,75.0485436893204,73.89480477573412,1.153738913586281
granule_colour,nil,25.352569298103422,24.951456310679614,26.10519522426589,1.1537389135862774
granularity,no,25.336359215431997,24.951456310679614,26.10519522426589,1.1537389135862774
granule_type,coarse,12.044091424866266,12.233009708737864,11.197160374314295,1.0358493344235686
nucleus_shape,unsegmented-band,25.725401199546116,25.04854368932039,24.814456276218134,0.9109449233279818
nucleus_shape,unsegmented-round,10.731074728481115,9.902912621359224,9.841884478864149,0.8891902496169664
nucleus_shape,irregular,8.542713567839195,7.669902912621359,8.518877057115198,0.8728106552178359
granule_colour,pink,31.382720051872266,31.06796116504854,31.913520490480803,0.8455593254322622
granule_colour,red,30.410115091586963,30.582524271844658,29.912875121006778,0.6696491508378806
nuclear_cytoplasmic_ratio,low,87.92348840979089,88.54368932038835,87.89932236205227,0.6443669583360787
nuclear_cytoplasmic_ratio,high,12.07651159020911,11.45631067961165,12.100677637947726,0.6443669583360752
granule_type,round,30.393905008915546,30.485436893203882,29.88060664730558,0.6048302458983024
granule_type,small,32.20943426811477,32.33009708737864,32.78476928041304,0.5753350122982681
cytoplasm_colour,purple blue,10.439293240395527,10.776699029126213,10.971281058405937,0.5319878180104105
cell_shape,irregular,22.613065326633166,23.009708737864077,22.58793159083575,0.421777147028326
cell_shape,round,77.38693467336684,76.99029126213593,77.41206840916425,0.4217771470283225
cytoplasm_vacuole,no,92.47852164046037,92.23300970873787,92.09422394320748,0.3842976972528902
cytoplasm_vacuole,yes,7.521478359539634,7.766990291262135,7.905776056792514,0.38429769725288043
